department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score
Procurement,2,Masters & above,f,other,1,47,3.0,7,1,0,70
Sales & Marketing,13,Bachelors,f,other,1,34,1.0,4,0,0,50
Procurement,15,Bachelors,m,other,1,36,1.0,3,0,0,71
Operations,15,Masters & above,m,other,2,30,3.0,6,0,0,60
Sales & Marketing,22,Masters & above,f,other,1,32,5.0,3,0,0,53
Operations,2,Masters & above,m,other,1,33,1.0,6,0,0,55
Operations,11,Bachelors,f,sourcing,1,33,3.0,6,0,0,59
Operations,2,Bachelors,f,other,1,36,3.0,8,1,0,61
Sales & Marketing,21,Bachelors,m,other,1,29,3.0,5,1,0,50
Procurement,2,Masters & above,m,sourcing,3,40,3.0,6,0,0,69
Operations,27,Bachelors,f,other,1,31,5.0,4,1,0,60
Sales & Marketing,34,Bachelors,m,sourcing,1,34,3.0,8,0,0,51
Operations,31,Bachelors,m,other,1,43,5.0,6,0,0,62
Operations,15,Masters & above,m,sourcing,1,42,3.0,2,1,0,58
Sales & Marketing,2,Bachelors,m,sourcing,1,42,5.0,16,1,0,48
Sales & Marketing,20,Bachelors,m,other,1,41,1.0,6,0,0,52
Procurement,15,Bachelors,m,sourcing,1,43,3.0,14,1,0,71
Finance,2,Masters & above,f,other,1,39,3.0,3,0,0,59
Analytics,7,Masters & above,m,sourcing,2,34,4.0,6,0,0,84
Operations,15,Bachelors,m,sourcing,1,26,2.0,6,1,0,58
Sales & Marketing,31,Masters & above,m,other,2,31,2.0,5,1,0,50
Sales & Marketing,25,Masters & above,m,sourcing,1,39,4.0,7,0,0,52
Sales & Marketing,23,Bachelors,m,sourcing,1,30,5.0,3,0,0,45
Procurement,4,Bachelors,m,sourcing,1,38,5.0,5,1,0,69
Operations,14,Bachelors,f,other,2,33,4.0,8,1,0,60
Finance,29,Bachelors,m,sourcing,1,30,5.0,4,1,0,62
Sales & Marketing,22,Bachelors,f,other,1,30,1.0,5,1,0,50
Sales & Marketing,30,Bachelors,f,sourcing,1,36,3.0,4,0,0,53
Sales & Marketing,27,Bachelors,m,other,2,33,4.0,4,0,0,48
Technology,2,Bachelors,m,other,1,36,3.0,4,0,0,77
Procurement,2,Masters & above,f,sourcing,1,47,3.0,13,1,0,69
Analytics,31,Bachelors,m,sourcing,1,29,3.0,3,0,0,88
Analytics,22,Bachelors,m,other,2,29,4.0,3,1,0,80
Analytics,10,Bachelors,m,other,1,28,4.0,2,0,0,85
Sales & Marketing,2,Bachelors,m,sourcing,1,49,5.0,6,1,0,52
Operations,4,Masters & above,m,other,1,39,5.0,4,1,0,62
Procurement,2,Masters & above,f,other,1,42,5.0,5,0,0,68
Sales & Marketing,4,Masters & above,m,other,2,39,3.0,2,0,0,50
Operations,20,Masters & above,m,other,1,34,3.0,3,1,0,59
Sales & Marketing,2,Masters & above,m,other,1,57,4.0,15,1,0,51
Finance,2,Bachelors,m,sourcing,1,30,3.0,4,0,0,62
Sales & Marketing,31,Bachelors,m,sourcing,1,34,1.0,10,0,0,44
Sales & Marketing,22,Bachelors,m,other,3,30,3.0,7,0,0,50
Analytics,25,Masters & above,m,other,1,35,4.0,7,1,0,82
Sales & Marketing,4,Bachelors,m,other,1,33,3.0,10,0,0,47
Procurement,26,Below Secondary,f,other,1,23,5.0,1,1,0,71
Sales & Marketing,2,Bachelors,f,other,1,27,2.0,3,0,0,51
Procurement,2,Bachelors,f,other,2,45,3.0,5,0,0,70
Technology,2,Bachelors,f,other,2,43,3.0,7,1,0,78
Sales & Marketing,7,Bachelors,f,sourcing,1,30,5.0,2,0,0,53
Operations,19,Bachelors,f,other,1,35,5.0,3,0,0,61
Finance,32,Bachelors,m,sourcing,2,38,5.0,4,0,0,58
Operations,7,Bachelors,m,other,1,39,4.0,10,0,0,56
Sales & Marketing,23,Masters & above,f,other,1,41,1.0,11,0,0,52
Operations,2,Bachelors,f,sourcing,1,39,5.0,2,0,0,61
Operations,25,Masters & above,m,other,1,35,3.0,7,0,0,62
Operations,6,Bachelors,f,sourcing,1,33,5.0,7,1,0,60
Technology,10,Masters & above,m,sourcing,2,37,3.0,5,0,0,83
Sales & Marketing,29,Bachelors,m,sourcing,2,41,1.0,12,0,0,52
Procurement,22,Bachelors,m,other,1,23,4.0,2,0,0,70
Procurement,2,Masters & above,f,other,1,52,3.0,4,1,0,69
Sales & Marketing,30,Bachelors,m,other,1,38,2.0,8,0,0,49
Sales & Marketing,2,Masters & above,m,sourcing,1,30,1.0,6,0,0,47
Operations,11,Bachelors,m,other,1,29,5.0,2,1,0,57
Procurement,7,Bachelors,f,other,2,27,3.0,4,0,0,67
Procurement,13,Masters & above,f,other,1,37,3.0,4,0,0,71
Sales & Marketing,7,Bachelors,m,other,1,51,1.0,10,0,0,51
Analytics,32,Bachelors,m,other,1,27,5.0,3,0,0,85
Operations,5,Bachelors,f,other,1,34,4.0,5,0,0,60
Operations,16,Bachelors,m,other,2,32,4.0,3,1,0,59
Technology,27,Bachelors,f,sourcing,1,37,3.0,4,1,1,78
Procurement,27,Bachelors,m,other,1,30,5.0,3,1,0,64
Operations,2,Bachelors,f,other,4,33,3.0,7,0,0,59
Operations,4,Bachelors,m,other,1,47,1.0,18,0,0,62
Analytics,9,Bachelors,m,other,2,28,1.0,4,0,0,87
Procurement,27,Bachelors,m,other,1,33,5.0,6,1,0,65
Technology,23,Masters & above,m,sourcing,2,35,3.0,4,1,0,80
Sales & Marketing,15,Bachelors,m,sourcing,1,28,3.0,2,0,0,53
Sales & Marketing,16,Masters & above,m,other,1,40,4.0,10,0,0,48
Sales & Marketing,13,Bachelors,m,other,1,30,3.0,4,1,0,52
Sales & Marketing,22,Bachelors,m,sourcing,1,40,5.0,3,1,0,50
Procurement,23,Masters & above,m,sourcing,1,40,3.0,6,0,0,63
Operations,7,Masters & above,f,other,1,41,3.0,5,1,0,54
Technology,26,Masters & above,m,other,1,51,4.0,18,1,0,79
HR,1,Masters & above,m,other,1,31,4.0,4,0,0,49
Analytics,7,Bachelors,m,other,2,39,3.0,13,0,0,85
Analytics,22,Bachelors,f,other,1,26,5.0,3,1,0,82
Analytics,23,Bachelors,m,sourcing,1,30,4.0,4,0,0,80
Operations,21,Masters & above,f,other,1,37,4.0,10,1,0,59
Legal,2,Masters & above,m,other,1,57,3.0,5,0,0,65
Analytics,11,Bachelors,m,other,1,33,5.0,6,1,0,84
Finance,4,Masters & above,f,other,1,35,3.0,4,0,0,58
Procurement,2,Bachelors,m,other,2,33,3.0,2,0,0,69
Finance,29,Bachelors,m,other,1,30,3.0,3,0,0,60
Procurement,22,Bachelors,m,other,2,26,1.0,4,1,0,72
Analytics,4,Masters & above,m,other,1,35,5.0,7,0,0,85
HR,2,Bachelors,m,other,1,41,5.0,3,1,0,51
Operations,7,Bachelors,f,sourcing,1,39,5.0,4,1,0,60
Procurement,4,Masters & above,m,other,2,42,3.0,8,0,0,68
Sales & Marketing,14,Bachelors,f,other,1,31,1.0,9,0,0,50
HR,7,Bachelors,m,other,2,27,3.0,4,0,0,51
Sales & Marketing,2,Masters & above,f,sourcing,2,33,3.0,3,0,0,48
Operations,22,Bachelors,f,other,1,53,1.0,19,0,0,61
Operations,13,Bachelors,f,referred,1,30,4.0,3,1,0,61
Operations,19,Bachelors,m,other,1,31,3.0,6,0,0,64
Finance,29,Masters & above,m,other,1,34,4.0,7,1,0,60
HR,22,Bachelors,m,referred,1,26,3.0,2,0,0,51
Finance,7,Bachelors,m,other,2,32,5.0,6,1,0,56
Procurement,2,Bachelors,f,other,1,32,3.0,6,0,0,67
Finance,2,Bachelors,f,other,1,26,4.0,2,1,0,58
Procurement,2,Masters & above,m,other,1,56,5.0,10,1,0,72
Technology,4,Bachelors,m,sourcing,2,30,3.0,4,0,0,81
Operations,28,Bachelors,f,sourcing,2,26,3.0,2,1,0,60
Operations,16,Bachelors,f,other,1,28,5.0,4,1,0,60
Procurement,2,Below Secondary,f,sourcing,1,20,3.0,2,1,0,71
Procurement,7,Masters & above,f,sourcing,1,46,3.0,3,0,0,68
Operations,2,Bachelors,m,sourcing,1,33,2.0,5,0,0,56
Procurement,2,Bachelors,f,other,1,36,3.0,4,0,0,63
Procurement,22,Bachelors,m,other,2,29,3.0,1,0,0,64
Analytics,22,Bachelors,m,other,1,39,5.0,9,1,0,81
Procurement,7,Bachelors,m,other,1,41,3.0,5,0,0,71
Sales & Marketing,11,Masters & above,m,other,1,32,5.0,8,1,0,46
Analytics,25,Masters & above,m,other,1,32,5.0,2,0,0,85
R&D,22,Masters & above,m,other,2,28,1.0,5,0,0,90
Procurement,4,Masters & above,m,sourcing,2,40,3.0,7,0,0,65
Procurement,13,Masters & above,m,other,1,39,4.0,12,0,0,72
Operations,27,Bachelors,m,other,1,51,3.0,6,0,0,53
Procurement,2,Below Secondary,m,sourcing,1,22,5.0,2,1,0,68
Finance,8,Bachelors,m,other,1,27,5.0,3,1,0,55
Procurement,8,Bachelors,m,other,1,38,4.0,9,0,0,70
Analytics,28,Masters & above,m,other,1,35,1.0,8,0,0,83
Technology,31,Masters & above,m,other,1,32,3.0,6,0,0,81
Sales & Marketing,7,Bachelors,m,sourcing,1,30,2.0,5,0,0,52
Sales & Marketing,9,Bachelors,m,sourcing,1,30,4.0,2,1,0,48
Analytics,31,Bachelors,f,other,1,30,4.0,4,1,0,84
R&D,15,Bachelors,m,other,1,34,3.0,8,0,0,86
Sales & Marketing,6,Bachelors,m,other,1,30,1.0,6,0,0,45
Procurement,2,Masters & above,m,sourcing,1,49,2.0,9,0,0,71
Analytics,22,Bachelors,m,other,5,29,3.0,6,0,0,86
Sales & Marketing,31,Masters & above,m,other,2,34,5.0,10,0,0,50
Sales & Marketing,13,Masters & above,f,sourcing,1,38,5.0,9,0,0,48
Procurement,28,Masters & above,f,sourcing,2,33,3.0,7,0,0,68
Finance,2,Bachelors,f,sourcing,1,27,4.0,3,1,0,64
Procurement,5,Bachelors,f,sourcing,2,29,4.0,4,1,0,72
Sales & Marketing,2,Masters & above,m,other,1,51,1.0,5,1,0,48
Finance,22,Bachelors,m,sourcing,1,31,3.0,4,0,0,61
Operations,4,Bachelors,f,other,1,38,5.0,8,1,0,58
Technology,14,Bachelors,f,other,1,38,3.0,10,0,0,79
Finance,13,Bachelors,f,sourcing,1,28,4.0,5,0,0,61
HR,2,Bachelors,m,other,1,39,4.0,3,1,0,45
Analytics,32,Bachelors,m,other,2,30,5.0,3,1,0,85
Operations,16,Bachelors,m,other,1,42,3.0,5,1,0,60
R&D,2,Masters & above,m,other,1,48,3.0,7,0,0,82
Operations,2,Bachelors,m,other,1,50,4.0,19,1,0,60
Analytics,2,Masters & above,m,sourcing,1,49,2.0,7,0,0,85
Legal,4,Masters & above,m,sourcing,1,34,3.0,4,0,0,62
Sales & Marketing,13,Bachelors,m,other,1,54,3.0,17,0,0,54
HR,6,Bachelors,m,other,1,26,4.0,2,1,0,50
Sales & Marketing,11,Bachelors,f,other,1,29,5.0,3,1,0,50
Procurement,2,Bachelors,m,other,2,35,3.0,5,0,0,65
Sales & Marketing,27,Bachelors,m,other,1,32,5.0,3,1,0,49
Sales & Marketing,11,Masters & above,m,other,1,40,1.0,4,0,0,52
Technology,7,Masters & above,f,sourcing,1,43,3.0,15,0,0,80
Sales & Marketing,4,Masters & above,m,other,2,45,1.0,4,0,0,51
Sales & Marketing,31,Bachelors,m,other,2,36,3.0,2,0,0,50
HR,2,Bachelors,m,other,2,30,1.0,5,0,0,49
Procurement,22,Masters & above,m,other,1,32,3.0,2,0,0,87
Operations,14,Bachelors,m,other,1,40,3.0,5,0,0,63
Technology,23,Bachelors,m,other,1,32,5.0,6,1,0,85
Sales & Marketing,11,Bachelors,m,other,1,32,5.0,2,0,0,48
Operations,13,Masters & above,f,other,1,51,3.0,8,0,0,59
Analytics,2,Masters & above,m,other,4,30,4.0,4,0,0,84
Procurement,26,Bachelors,m,other,2,28,3.0,5,0,0,71
Sales & Marketing,4,Masters & above,m,sourcing,1,31,2.0,10,1,0,52
Sales & Marketing,2,Masters & above,m,other,1,42,4.0,3,1,0,65
Operations,3,Bachelors,m,other,1,30,3.0,4,0,0,61
Legal,26,Bachelors,m,other,1,30,1.0,2,0,0,59
Sales & Marketing,7,Bachelors,f,other,1,31,3.0,10,0,0,52
Procurement,26,Bachelors,m,sourcing,1,33,3.0,7,0,0,81
Technology,24,Masters & above,f,other,1,33,2.0,7,0,0,76
Sales & Marketing,29,Bachelors,m,other,1,34,5.0,5,0,0,50
Sales & Marketing,2,Bachelors,f,other,1,38,4.0,12,0,0,52
Operations,2,Bachelors,m,other,1,24,5.0,1,0,0,64
Procurement,14,Bachelors,f,other,1,36,4.0,9,1,0,68
HR,22,Bachelors,f,sourcing,2,24,4.0,3,0,0,45
Operations,26,Bachelors,f,sourcing,1,32,4.0,7,0,0,59
Operations,23,Bachelors,f,sourcing,1,32,4.0,5,0,0,60
Procurement,16,Masters & above,f,sourcing,1,37,4.0,2,1,0,76
Analytics,26,Bachelors,m,other,2,32,4.0,6,0,0,86
Operations,18,Bachelors,f,sourcing,1,35,3.0,10,0,0,61
Technology,15,Bachelors,m,sourcing,3,29,4.0,5,1,0,80
Procurement,29,Bachelors,m,other,2,30,4.0,6,0,0,65
Procurement,34,Bachelors,m,other,1,30,4.0,4,1,0,70
Technology,4,Bachelors,m,other,1,33,3.0,6,0,0,82
Technology,22,Bachelors,m,other,4,35,2.0,8,0,0,82
Technology,25,Bachelors,f,other,2,29,4.0,3,0,0,81
Operations,4,Bachelors,f,other,1,26,5.0,4,1,0,63
Sales & Marketing,12,Bachelors,m,sourcing,1,40,1.0,6,0,0,50
Sales & Marketing,7,Bachelors,m,referred,2,33,5.0,6,1,0,48
Procurement,14,Masters & above,m,other,1,36,2.0,7,0,0,65
Analytics,2,Bachelors,m,other,2,42,5.0,4,0,0,82
Technology,27,Bachelors,m,other,1,29,4.0,7,1,0,81
Sales & Marketing,13,Masters & above,m,sourcing,1,34,2.0,2,0,0,50
Operations,26,Bachelors,f,other,1,30,4.0,3,1,0,57
HR,31,Masters & above,f,sourcing,1,36,5.0,7,1,0,48
Sales & Marketing,2,Bachelors,m,sourcing,2,37,1.0,4,0,0,43
Legal,31,Bachelors,m,other,1,34,5.0,7,1,0,62
Finance,22,Bachelors,m,other,2,29,3.0,4,0,0,61
Finance,2,Bachelors,m,sourcing,1,33,1.0,3,0,0,61
Sales & Marketing,4,Masters & above,f,other,1,41,5.0,2,1,0,53
Sales & Marketing,12,Bachelors,m,sourcing,1,26,1.0,2,0,0,52
Technology,2,Bachelors,f,other,1,44,1.0,15,0,0,79
R&D,27,Bachelors,m,sourcing,1,28,4.0,8,0,0,87
Sales & Marketing,2,Bachelors,m,sourcing,1,52,3.0,3,0,0,59
Operations,22,Bachelors,f,other,1,24,3.0,3,1,0,66
Technology,27,Bachelors,m,sourcing,1,23,3.0,2,0,0,80
Analytics,32,Bachelors,m,other,1,41,3.0,6,0,0,82
Sales & Marketing,6,Bachelors,f,other,1,35,2.0,7,1,1,47
Sales & Marketing,29,Bachelors,m,sourcing,1,33,3.0,7,0,0,52
Operations,15,Bachelors,m,other,1,34,1.0,9,1,0,60
Sales & Marketing,5,Bachelors,m,sourcing,1,32,2.0,6,0,0,47
Sales & Marketing,15,Bachelors,f,other,1,31,3.0,5,1,0,45
Operations,2,Bachelors,m,other,1,40,4.0,13,0,0,59
Sales & Marketing,22,Bachelors,m,sourcing,1,28,5.0,3,0,0,49
Sales & Marketing,14,Bachelors,m,other,1,40,4.0,3,0,0,51
Sales & Marketing,7,Masters & above,m,other,1,44,1.0,6,0,0,50
HR,22,Bachelors,m,referred,1,26,5.0,2,1,0,49
Operations,2,Masters & above,m,other,1,32,3.0,2,0,0,62
Technology,23,Masters & above,m,other,1,53,3.0,6,1,1,91
Technology,7,Bachelors,f,other,1,38,4.0,5,1,0,81
Sales & Marketing,22,Masters & above,f,sourcing,1,30,1.0,5,0,0,49
Sales & Marketing,29,Bachelors,m,other,1,28,5.0,7,1,0,47
Legal,2,Bachelors,m,sourcing,1,26,4.0,3,1,0,55
Technology,23,Bachelors,f,sourcing,2,32,5.0,4,1,0,79
Procurement,13,Bachelors,f,sourcing,1,29,5.0,4,1,0,73
Sales & Marketing,29,Bachelors,m,other,1,28,2.0,2,0,0,49
Technology,2,Masters & above,f,sourcing,1,56,4.0,13,1,0,81
Sales & Marketing,26,Bachelors,m,sourcing,1,49,3.0,8,0,0,49
Operations,2,Bachelors,m,sourcing,1,39,3.0,8,0,0,58
Analytics,31,Masters & above,m,sourcing,2,37,4.0,11,0,0,84
Technology,22,Bachelors,m,referred,2,26,3.0,5,1,0,81
Technology,2,Bachelors,m,other,1,35,1.0,8,0,0,82
Operations,4,Masters & above,m,sourcing,1,52,5.0,10,1,0,61
Operations,7,Bachelors,m,other,1,36,3.0,7,0,0,64
Operations,2,Bachelors,m,other,1,28,3.0,6,0,0,59
Operations,2,Masters & above,m,other,1,43,4.0,7,1,0,60
Technology,2,Bachelors,m,referred,1,30,5.0,5,1,0,77
Sales & Marketing,22,Masters & above,m,sourcing,1,35,5.0,9,0,0,52
Procurement,22,Masters & above,m,other,1,46,3.0,11,0,1,71
Technology,4,Masters & above,f,other,1,34,2.0,2,1,0,78
Sales & Marketing,5,Bachelors,m,sourcing,1,28,3.0,4,0,0,46
Sales & Marketing,27,Bachelors,m,other,1,32,1.0,4,0,0,49
Operations,22,Masters & above,m,other,1,48,5.0,21,0,0,63
Sales & Marketing,2,Bachelors,f,other,1,42,2.0,5,0,0,51
HR,2,Bachelors,f,other,1,31,5.0,7,0,0,50
Sales & Marketing,32,Bachelors,m,other,1,31,3.0,5,0,0,53
Operations,15,Bachelors,m,other,1,48,5.0,17,1,0,60
Procurement,7,Bachelors,m,sourcing,1,35,3.0,7,0,0,72
Sales & Marketing,31,Bachelors,f,other,1,26,1.0,2,0,0,51
Analytics,7,Bachelors,m,sourcing,3,45,3.0,9,1,0,82
Technology,8,Masters & above,f,other,1,34,5.0,5,1,0,78
Procurement,26,Bachelors,f,other,1,37,3.0,7,1,0,70
Sales & Marketing,4,Masters & above,m,other,1,42,5.0,12,1,0,47
Sales & Marketing,7,Bachelors,f,sourcing,1,30,4.0,5,0,0,46
Procurement,8,Masters & above,f,sourcing,1,39,5.0,13,0,0,70
Sales & Marketing,13,Bachelors,f,other,1,30,3.0,4,1,0,44
Sales & Marketing,7,Bachelors,m,sourcing,1,29,2.0,4,0,0,44
Procurement,24,Masters & above,m,other,2,32,3.0,7,0,0,71
Sales & Marketing,19,Bachelors,m,sourcing,1,36,5.0,4,1,0,52
Sales & Marketing,6,Bachelors,m,sourcing,1,59,1.0,29,0,0,49
Sales & Marketing,7,Bachelors,m,other,2,34,5.0,3,0,0,49
HR,2,Bachelors,f,referred,1,32,4.0,5,1,0,50
Operations,13,Bachelors,m,other,1,38,4.0,7,1,0,65
Legal,26,Bachelors,m,sourcing,1,31,5.0,6,1,0,57
HR,2,Bachelors,f,other,1,55,3.0,24,0,0,50
Procurement,14,Masters & above,f,other,1,35,5.0,6,0,0,75
Sales & Marketing,22,Bachelors,m,other,2,31,4.0,5,0,0,51
Sales & Marketing,15,Bachelors,m,other,1,36,3.0,10,0,0,52
Sales & Marketing,7,Masters & above,m,other,1,44,5.0,13,1,0,46
Operations,7,Bachelors,f,sourcing,2,26,5.0,2,1,0,58
Operations,7,Masters & above,m,other,1,36,3.0,10,1,0,58
Analytics,7,Bachelors,m,sourcing,2,41,5.0,5,1,0,79
Sales & Marketing,22,Bachelors,f,sourcing,1,25,3.0,2,0,0,51
HR,2,Bachelors,f,other,1,59,3.0,7,0,0,48
Operations,29,Bachelors,m,sourcing,1,32,3.0,5,0,0,58
Procurement,28,Masters & above,m,other,1,31,1.0,4,0,0,70
Procurement,2,Below Secondary,f,sourcing,1,24,3.0,2,1,1,67
Operations,15,Bachelors,f,sourcing,1,37,4.0,10,0,0,59
Operations,7,Bachelors,m,other,2,39,5.0,2,1,0,58
Sales & Marketing,33,Bachelors,m,sourcing,3,33,1.0,6,0,0,50
Operations,7,Bachelors,f,sourcing,2,29,3.0,6,1,0,55
HR,2,Masters & above,m,other,2,50,5.0,8,0,0,50
Analytics,1,Masters & above,m,sourcing,1,32,3.0,7,0,0,82
Analytics,31,Bachelors,m,other,2,29,4.0,2,1,0,83
Sales & Marketing,7,Masters & above,m,sourcing,1,35,3.0,9,0,0,51
Operations,7,Bachelors,f,sourcing,1,29,4.0,4,1,0,55
Technology,2,Bachelors,f,other,1,28,4.0,3,1,0,78
Technology,26,Bachelors,m,other,1,37,3.0,8,0,0,80
Operations,16,Bachelors,m,sourcing,1,32,1.0,4,0,0,59
Technology,7,Masters & above,m,other,1,40,3.0,7,0,0,77
Sales & Marketing,24,Bachelors,m,other,2,30,1.0,8,1,0,53
Analytics,4,Masters & above,m,other,2,33,5.0,7,0,0,89
Technology,23,Masters & above,f,other,4,34,2.0,9,0,0,78
Technology,7,Bachelors,m,sourcing,1,36,3.0,10,0,0,84
Operations,29,Bachelors,m,other,2,32,3.0,5,1,0,60
Operations,26,Bachelors,f,other,1,42,1.0,4,0,0,61
Sales & Marketing,2,Masters & above,m,sourcing,1,50,4.0,19,0,0,50
Finance,2,Bachelors,f,sourcing,1,40,5.0,3,0,0,63
HR,16,Bachelors,f,other,1,32,5.0,5,0,0,47
Sales & Marketing,27,Bachelors,m,other,1,29,3.0,7,1,0,52
Analytics,15,Bachelors,m,sourcing,1,30,4.0,3,1,0,87
HR,13,Bachelors,f,other,1,26,4.0,2,1,0,53
Technology,21,Bachelors,m,sourcing,1,29,1.0,2,1,0,77
Technology,23,Bachelors,m,sourcing,1,28,4.0,5,1,1,87
Operations,2,Bachelors,f,other,1,37,3.0,10,0,0,59
Sales & Marketing,2,Bachelors,m,referred,1,38,5.0,9,0,0,49
Sales & Marketing,11,Bachelors,m,other,1,36,3.0,7,1,0,49
HR,2,Bachelors,m,other,1,48,2.0,15,0,0,49
Sales & Marketing,2,Masters & above,m,other,1,52,3.0,26,0,0,48
Sales & Marketing,15,Bachelors,m,other,2,29,2.0,2,0,0,51
HR,22,Masters & above,f,sourcing,1,34,3.0,2,0,0,50
Operations,19,Bachelors,m,other,1,36,1.0,2,0,0,59
Sales & Marketing,16,Bachelors,m,sourcing,1,46,2.0,4,0,0,49
HR,2,Bachelors,m,other,1,22,3.0,2,0,0,47
Operations,7,Bachelors,m,sourcing,2,30,5.0,3,1,0,57
Analytics,22,Masters & above,m,sourcing,1,34,2.0,5,0,0,81
Operations,4,Masters & above,m,other,1,52,4.0,2,1,0,53
Operations,19,Masters & above,m,sourcing,1,35,3.0,9,0,0,57
Technology,22,Bachelors,m,other,1,29,4.0,4,1,0,80
Operations,2,Masters & above,m,other,1,33,5.0,3,0,0,61
Sales & Marketing,16,Bachelors,m,other,1,48,1.0,20,0,0,51
Operations,22,Bachelors,m,other,3,36,4.0,8,1,0,61
Technology,26,Bachelors,m,other,1,31,3.0,7,1,0,96
Sales & Marketing,4,Bachelors,m,other,1,32,5.0,8,1,0,52
Sales & Marketing,21,Bachelors,f,sourcing,1,25,4.0,2,1,0,49
Operations,2,Bachelors,m,other,1,35,5.0,7,0,0,62
Sales & Marketing,6,Bachelors,m,other,1,30,2.0,2,0,0,52
Sales & Marketing,23,Masters & above,f,other,1,33,1.0,3,0,0,48
Operations,2,Masters & above,m,other,1,42,4.0,7,0,0,60
Technology,15,Bachelors,f,sourcing,1,35,4.0,6,0,0,79
Sales & Marketing,15,Masters & above,m,other,1,31,3.0,5,0,0,52
Sales & Marketing,6,Bachelors,m,other,1,36,4.0,9,0,0,53
Operations,2,Bachelors,m,sourcing,1,55,4.0,7,1,0,63
Technology,16,Masters & above,f,other,1,37,3.0,7,0,0,80
Procurement,15,Masters & above,m,other,1,34,1.0,5,0,0,71
Analytics,30,Bachelors,m,sourcing,1,31,3.0,4,0,0,85
Analytics,28,Masters & above,m,other,1,41,4.0,2,0,0,84
Sales & Marketing,23,Masters & above,f,sourcing,1,36,5.0,3,0,0,51
Technology,33,Bachelors,f,other,1,30,3.0,8,0,0,78
Analytics,29,Bachelors,m,other,2,26,3.0,3,1,0,81
Sales & Marketing,2,Bachelors,m,other,1,27,1.0,2,1,0,47
R&D,24,Bachelors,m,other,1,27,3.0,4,0,0,82
Procurement,22,Bachelors,m,sourcing,1,36,2.0,2,0,0,77
Sales & Marketing,19,Bachelors,m,other,1,31,3.0,7,1,0,52
HR,2,Bachelors,f,other,1,30,4.0,3,0,0,48
Procurement,15,Masters & above,m,sourcing,1,38,2.0,10,0,0,71
Operations,15,Masters & above,m,other,2,42,3.0,7,0,0,60
Operations,10,Masters & above,f,other,2,37,4.0,9,0,0,61
Procurement,15,Bachelors,f,sourcing,1,34,3.0,6,0,0,64
Operations,2,Masters & above,m,other,1,34,4.0,7,0,0,57
Procurement,2,Masters & above,m,other,1,48,3.0,14,0,0,74
Procurement,31,Bachelors,m,other,1,27,1.0,2,0,0,70
Procurement,11,Masters & above,f,other,1,35,5.0,5,1,0,66
Sales & Marketing,31,Bachelors,m,other,2,28,1.0,3,0,0,47
Operations,16,Bachelors,m,other,1,36,5.0,2,1,0,61
Finance,28,Masters & above,m,sourcing,2,39,1.0,7,0,0,59
Sales & Marketing,15,Masters & above,m,other,1,38,1.0,3,1,0,51
Finance,20,Bachelors,f,sourcing,1,29,4.0,2,1,0,56
Operations,22,Masters & above,m,other,1,50,5.0,3,0,0,62
Procurement,26,Masters & above,m,sourcing,1,37,3.0,9,0,0,71
Operations,4,Bachelors,m,other,1,29,4.0,4,1,0,59
Sales & Marketing,2,Bachelors,m,sourcing,1,50,4.0,19,0,0,49
Technology,15,Bachelors,m,other,1,34,1.0,8,0,1,79
Finance,7,Masters & above,m,other,1,40,4.0,5,0,0,56
Sales & Marketing,19,Bachelors,m,other,2,32,4.0,3,1,0,49
Sales & Marketing,20,Bachelors,m,other,1,28,5.0,3,0,0,47
Legal,22,Bachelors,m,referred,1,31,5.0,4,0,0,55
Technology,11,Masters & above,m,other,1,32,2.0,8,0,0,77
Analytics,25,Bachelors,m,other,1,29,5.0,3,0,0,83
Sales & Marketing,13,Masters & above,m,other,2,43,3.0,12,0,0,53
Operations,2,Bachelors,f,sourcing,1,47,3.0,16,1,0,61
Sales & Marketing,2,Masters & above,f,sourcing,1,50,3.0,3,0,0,41
Sales & Marketing,13,Masters & above,f,sourcing,1,33,2.0,7,0,0,47
Sales & Marketing,4,Bachelors,m,sourcing,1,39,1.0,2,0,0,47
Sales & Marketing,2,Masters & above,m,other,1,39,5.0,9,0,0,50
Technology,22,Bachelors,f,other,1,37,3.0,4,1,0,76
Technology,25,Bachelors,f,sourcing,1,26,4.0,3,0,0,79
Analytics,22,Masters & above,m,other,1,36,3.0,9,0,0,85
Sales & Marketing,20,Bachelors,m,sourcing,3,32,4.0,4,0,0,47
Technology,4,Bachelors,f,sourcing,1,35,2.0,8,0,0,80
Technology,22,Bachelors,m,sourcing,2,27,3.0,2,1,0,79
Sales & Marketing,2,Bachelors,m,referred,1,30,5.0,7,0,0,53
HR,2,Bachelors,m,other,1,26,5.0,2,0,0,51
Technology,2,Bachelors,m,other,1,47,4.0,8,1,0,75
Operations,14,Masters & above,f,sourcing,1,37,3.0,7,0,0,59
Procurement,2,Bachelors,f,other,4,47,4.0,5,0,0,67
Sales & Marketing,11,Bachelors,m,other,1,43,5.0,7,0,0,50
Technology,10,Masters & above,m,sourcing,3,31,3.0,4,0,0,81
Sales & Marketing,5,Bachelors,m,other,2,26,1.0,4,0,0,47
Finance,22,Bachelors,m,other,1,26,5.0,3,1,0,57
Operations,2,Bachelors,f,other,1,54,5.0,4,0,0,73
